[2026-03-28T04:21:25.522Z] GET https://gilded-macaron-2bae1d.netlify.app/ → pending (?ms, ?B)
[2026-03-28T04:21:26.054Z] GET https://gilded-macaron-2bae1d.netlify.app/vendor/qrcode.min.js → 200 (161ms, 19927B)
[2026-03-28T04:21:26.054Z] GET https://cdn.jsdelivr.net/npm/@mediapipe/tasks-vision@0.10.14/wasm/vision_wasm_internal.wasm → 200 (189ms, 9423986B)
[2026-03-28T04:21:26.242Z] GET https://gilded-macaron-2bae1d.netlify.app/pose.js → pending (?ms, ?B)
[2026-03-28T04:21:26.242Z] GET https://gilded-macaron-2bae1d.netlify.app/storage.js → pending (?ms, ?B)
[2026-03-28T04:21:26.242Z] GET https://gilded-macaron-2bae1d.netlify.app/state.js → pending (?ms, ?B)
[2026-03-28T04:21:26.243Z] GET https://gilded-macaron-2bae1d.netlify.app/progress.js → pending (?ms, ?B)
[2026-03-28T04:21:26.243Z] GET https://gilded-macaron-2bae1d.netlify.app/share.js → pending (?ms, ?B)
[2026-03-28T04:21:26.918Z] GET https://cdn.jsdelivr.net/npm/@mediapipe/tasks-vision@0.10.14/vision_bundle.mjs → 200 (21ms, 136870B)
[2026-03-28T04:21:26.918Z] GET https://gilded-macaron-2bae1d.netlify.app/angles.js → 200 (138ms, 1224B)
[2026-03-28T04:21:26.918Z] GET https://gilded-macaron-2bae1d.netlify.app/arc.js → 200 (208ms, 1307B)
[2026-03-28T04:21:26.918Z] GET https://gilded-macaron-2bae1d.netlify.app/overlay.js → 200 (208ms, 5259B)
[2026-03-28T04:27:39.228Z] GET https://gilded-macaron-2bae1d.netlify.app/?cache=1774672059 → 200 (565ms, 24040B)
[2026-03-28T04:27:39.802Z] GET https://gilded-macaron-2bae1d.netlify.app/vendor/qrcode.min.js → pending (?ms, ?B)
[2026-03-28T04:27:39.802Z] GET https://cdn.jsdelivr.net/npm/@mediapipe/tasks-vision@0.10.14/wasm/vision_wasm_internal.wasm → 200 (?ms, 9423986B)
[2026-03-28T04:27:40.229Z] GET https://gilded-macaron-2bae1d.netlify.app/pose.js → 304 (328ms, ?B)
[2026-03-28T04:27:40.229Z] GET https://gilded-macaron-2bae1d.netlify.app/storage.js → 304 (328ms, ?B)
[2026-03-28T04:27:40.230Z] GET https://gilded-macaron-2bae1d.netlify.app/state.js → 304 (329ms, ?B)
[2026-03-28T04:27:40.230Z] GET https://gilded-macaron-2bae1d.netlify.app/progress.js → 304 (327ms, ?B)
[2026-03-28T04:27:40.230Z] GET https://gilded-macaron-2bae1d.netlify.app/share.js → 304 (329ms, ?B)
[2026-03-28T04:27:40.230Z] GET https://gilded-macaron-2bae1d.netlify.app/guide.js → 200 (324ms, 9549B)
[2026-03-28T04:27:40.558Z] GET https://cdn.jsdelivr.net/npm/@mediapipe/tasks-vision@0.10.14/vision_bundle.mjs → 200 (?ms, 136870B)
[2026-03-28T04:27:40.558Z] GET https://gilded-macaron-2bae1d.netlify.app/angles.js → 304 (312ms, ?B)
[2026-03-28T04:27:40.558Z] GET https://gilded-macaron-2bae1d.netlify.app/arc.js → 304 (315ms, ?B)
[2026-03-28T04:27:40.559Z] GET https://gilded-macaron-2bae1d.netlify.app/overlay.js → 200 (314ms, 7548B)
